date,manufacturer,car_model,car_year,sales
2018-06,Mercury,Grand Marquis,1990,137
2022-03,GMC,Yukon,1994,27
2022-10,Dodge,Dakota Club,1995,9
2021-08,Toyota,RAV4,2012,169
2020-11,Chevrolet,Silverado 2500,2001,73
2020-11,Ford,Mustang,1988,171
2021-06,Pontiac,Sunbird,1992,144
2020-04,Mazda,Miata MX-5,2001,143
2022-12,Porsche,Boxster,1997,40
2021-09,Lexus,GS,1993,77
2019-02,Ford,Econoline E250,2002,34
2019-12,Porsche,911,1993,193
2021-01,Toyota,Venza,2013,110
2022-04,Dodge,Ram 1500,2004,190
2018-04,Chevrolet,Suburban 2500,2011,151
2018-06,Toyota,Solara,2001,34
2019-06,Aston Martin,V8 Vantage,2006,10
2022-12,Ford,Model T,1909,158
2022-06,Audi,TT,2005,117
2018-02,Subaru,Legacy,2002,195
2022-03,Volkswagen,Golf,2000,89
2019-03,Mercedes-Benz,CL-Class,2008,92
2019-11,Chevrolet,Express 3500,2004,57
2019-01,Land Rover,LR2,2011,100
2020-09,Ford,Aerostar,1993,58
2019-09,Isuzu,Rodeo,2001,68
2022-05,Lexus,LX,2006,148
2020-11,Mazda,MX-5,2005,77
2020-10,Volkswagen,Fox,1989,11
2021-03,Mazda,323,1995,133
2021-03,Suzuki,Grand Vitara,2011,114
2022-04,Toyota,Sequoia,2010,91
2020-09,Honda,CR-V,2011,125
2021-11,Toyota,TundraMax,2007,7
2022-10,Ford,Taurus,1990,87
2022-06,Volkswagen,Scirocco,1987,24
2020-01,Ford,Excursion,2000,189
2020-02,Toyota,Avalon,2006,115
2022-08,GMC,3500 Club Coupe,1994,113
2018-03,GMC,Suburban 2500,1993,128
2020-02,Chrysler,New Yorker,1996,153
2019-12,BMW,M5,2002,159
2018-09,Lexus,LX,1997,123
2019-09,Mercury,Capri,1986,194
2020-07,Mercury,Mountaineer,2003,103
2021-07,Eagle,Summit,1993,196
2018-07,Maserati,Quattroporte,2006,141
2022-10,Dodge,Ram 3500,2005,30
2021-01,Kia,Sephia,1997,17
2019-02,Chrysler,Town & Country,1997,17
2021-05,Honda,Civic,1999,148
2022-10,Jeep,Comanche,1992,52
2019-09,Toyota,Avalon,2010,50
2022-04,Volvo,S40,2000,74
2018-03,Mitsubishi,Diamante,2000,26
2019-09,Ford,Excursion,2002,135
2022-03,Mazda,929,1990,187
2018-04,Chevrolet,Venture,2005,185
2021-04,Audi,S8,2003,16
2019-10,Dodge,Dakota Club,1995,105
2021-03,Rolls-Royce,Phantom,2006,47
2018-03,Audi,100,1992,146
2018-03,Ford,E250,2010,36
2020-07,GMC,Sonoma,1996,87
2021-08,Chevrolet,Monza,1975,48
2022-02,Chevrolet,Sportvan G10,1992,146
2019-12,BMW,6 Series,2008,9
2021-03,Land Rover,Defender 110,1993,31
2021-02,BMW,7 Series,1994,71
2021-03,Volvo,S80,2002,83
2019-10,Chevrolet,Cobalt,2009,168
2021-03,Ford,LTD Crown Victoria,1991,104
2018-06,Mazda,MX-5,1998,177
2021-03,Dodge,Ram Van B150,1992,174
2018-06,Ford,Freestar,2003,170
2020-11,Mercedes-Benz,M-Class,2011,184
2021-11,Chevrolet,Silverado 1500,2011,138
2021-08,Chevrolet,Prizm,2002,177
2021-11,Audi,5000CS,1987,56
2022-03,Dodge,Ram Van 1500,1995,192
2022-09,Dodge,Ram 2500 Club,1997,130
2022-05,Fairthorpe,Rockette,1960,159
2018-10,Chrysler,300M,2002,9
2020-09,Ford,Expedition,1997,13
2022-04,GMC,EV1,1999,162
2018-05,Mitsubishi,3000GT,1999,60
2018-06,Subaru,Baja,2005,74
2018-01,Volkswagen,GTI,1999,27
2022-08,Porsche,Cayenne,2004,86
2022-03,Buick,Century,1990,82
2022-03,Mitsubishi,Chariot,1994,56
2018-06,Mazda,MX-5,2009,199
2020-05,Buick,Lucerne,2011,4
2018-07,Dodge,Ram Van 3500,2000,2
2022-10,Cadillac,Escalade,2011,152
2018-05,Chevrolet,Caprice,1977,187
2020-10,Mazda,MPV,1989,117
2021-11,Jeep,Grand Cherokee,2005,98
2018-04,Porsche,Cayenne,2008,200
2019-03,Saab,900,1999,145
2022-11,Saab,9-5,2005,92
2018-10,Chevrolet,Impala SS,1994,184
2018-04,Lamborghini,Countach,1985,120
2021-03,Chevrolet,G-Series G10,1994,101
2018-12,Saab,9-3,1999,135
2022-12,Buick,Century,2002,30
2020-07,Saab,9-3,2004,127
2019-02,Mercedes-Benz,SLS AMG,2011,170
2018-08,BMW,Z4 M,2007,157
2022-11,Chevrolet,Aveo,2006,32
2021-03,Chevrolet,Corvette,1954,50
2022-12,Nissan,Murano,2007,164
2018-05,Hyundai,XG350,2003,127
2022-01,Volkswagen,rio,1996,166
2022-12,Honda,Accord,1983,30
2022-02,GMC,Suburban 1500,1996,140
2022-05,Mitsubishi,Eclipse,1989,85
2020-12,Volkswagen,Touareg 2,2009,166
2018-05,Land Rover,Range Rover,2010,182
2021-06,Volkswagen,New Beetle,2000,6
2022-05,Pontiac,Montana,2000,197
2019-10,Land Rover,Range Rover,2002,124
2020-10,Chevrolet,Citation,1980,9
2022-06,Mazda,Miata MX-5,1993,19
2018-02,Toyota,Camry Hybrid,2007,66
2021-10,Toyota,4Runner,2003,100
2021-10,Ford,Escort,2001,76
2021-04,Ford,Explorer Sport Trac,2001,170
2019-11,Maybach,62,2003,50
2022-01,Dodge,Ram 3500,2004,180
2021-05,Bentley,Continental GT,2009,180
2020-01,GMC,Vandura 1500,1992,68
2021-02,Ford,Probe,1990,28
2019-03,Hyundai,Tiburon,1997,161
2020-10,Acura,TSX,2012,85
2021-10,BMW,Z4 M,2008,117
2022-07,Toyota,Sequoia,2008,150
2021-09,GMC,1500,1994,50
2018-04,Ford,Explorer,2002,73
2022-04,Toyota,Xtra,1992,18
2018-09,Mercury,Sable,2009,76
2021-08,Chevrolet,Corvette,1965,50
2020-12,Cadillac,Escalade ESV,2006,74
2019-04,GMC,Sonoma Club,1992,38
2018-01,GMC,Vandura 1500,1992,181
2020-11,Nissan,Xterra,2009,128
2022-04,Chevrolet,Corvette,1968,180
2020-03,Audi,Q5,2011,88
2018-04,Toyota,Avalon,2004,131
2019-04,Buick,Century,2001,68
2022-09,GMC,Sierra 3500,2007,177
2021-03,Toyota,Sequoia,2003,50
2021-11,Volkswagen,Cabriolet,1991,80
2022-08,Buick,Park Avenue,1995,116
2021-04,Subaru,XT,1990,149
2021-06,BMW,X5,2006,151
2020-06,Volkswagen,Passat,1992,200
2019-04,Geo,Prizm,1992,121
2022-11,Subaru,Tribeca,2006,147
2022-09,Acura,Legend,1993,194
2020-02,Porsche,944,1988,141
2019-01,Geo,Metro,1996,102
2019-08,Buick,Lucerne,2010,106
2018-09,Plymouth,Volare,1976,134
2022-06,Volkswagen,Golf,1988,142
2021-12,Mercedes-Benz,E-Class,1986,166
2022-06,Lexus,RX Hybrid,2006,89
2021-04,Toyota,Yaris,2007,76
2021-06,Plymouth,Colt,1992,98
2022-08,GMC,Sierra 2500,2002,87
2019-10,Lincoln,MKS,2012,114
2020-12,Mercedes-Benz,CLK-Class,2007,1
2020-01,Honda,CR-V,2011,118
2021-02,Kia,Sedona,2004,81
2021-03,Mazda,Mazda5,2007,12
2018-06,Ford,Thunderbird,1967,154
2018-03,Lexus,LX,2004,31
2019-05,Isuzu,Oasis,1998,58
2018-12,Chrysler,Town & Country,2008,166
2021-05,Lexus,ES,2006,113
2022-10,Toyota,Corolla,2000,4
2022-07,Land Rover,Discovery,1999,156
2022-10,Audi,A6,2006,107
2020-05,Pontiac,Firebird,2001,106
2022-02,GMC,Savana,2011,4
2022-02,Mazda,323,1992,122
2020-09,Mercedes-Benz,300D,1993,199
2020-04,Chevrolet,2500,1995,86
2019-07,Hyundai,Veloster,2013,126
2020-07,Aston Martin,Vantage,2006,142
2022-10,Hyundai,Veracruz,2007,143
2022-03,Volkswagen,GLI,2009,19
2019-08,BMW,5 Series,1992,39
2022-11,Maserati,GranTurismo,2010,119
2022-01,Buick,Park Avenue,1992,70
2021-02,Jeep,Grand Cherokee,1999,50
2019-05,Infiniti,QX,2006,142
2018-04,Saturn,Sky,2007,131
2022-10,Lexus,RX,2006,154
2022-02,Land Rover,Discovery Series II,2002,120
2022-09,Cadillac,STS,2008,29
2019-04,Ford,Bronco,1994,42
2022-05,Dodge,Caravan,2003,42
2020-04,Acura,Integra,1993,8
2019-06,Mazda,B-Series,2003,95
2019-09,Pontiac,Aztek,2004,24
2021-02,Mitsubishi,Precis,1990,32
2018-06,Dodge,Nitro,2011,190
2019-08,Cadillac,Seville,1998,91
2019-03,Lincoln,Town Car,2005,6
2021-06,Chrysler,300M,2001,56
2022-02,Jaguar,X-Type,2008,108
2019-10,Chevrolet,Tahoe,1997,188
2022-05,Infiniti,J,1997,62
2020-05,Dodge,Neon,2001,73
2018-01,Dodge,Ram 2500 Club,1995,169
2021-12,Lincoln,MKZ,2009,12
2022-05,Jeep,Wrangler,1995,195
2020-10,Jeep,Liberty,2007,142
2020-11,Kia,Optima,2003,36
2019-07,Ford,Mustang,1986,111
2019-02,Mazda,MX-3,1994,39
2018-06,Chevrolet,Corvette,1972,43
2020-01,Chrysler,Cirrus,1997,60
2019-05,Ford,F-Series,2008,184
2019-12,Audi,5000CS Quattro,1986,166
2019-08,Jaguar,XJ Series,1996,162
2022-11,Dodge,Caravan,1985,127
2019-07,Nissan,GT-R,2012,36
2021-10,Chevrolet,Express,2012,113
2022-02,Chevrolet,Silverado 2500,2012,34
2018-12,Nissan,Sentra,2008,10
2018-08,Cadillac,CTS-V,2006,57
2019-10,Buick,Riviera,1996,23
2019-04,Chevrolet,Express 3500,2007,141
2019-06,GMC,3500,1994,1
2019-10,Plymouth,Colt Vista,1994,80
2022-07,Pontiac,Grand Prix,1989,97
2021-07,Jeep,Wrangler,2002,139
2018-10,GMC,Safari,1992,41
2019-09,Scion,xB,2012,159
2018-03,Mercedes-Benz,E-Class,2012,145
2018-07,GMC,Sierra 1500,2013,179
2022-10,Honda,Civic,2006,171
2020-01,Mitsubishi,Galant,1987,171
2020-02,Lotus,Esprit,1986,104
2020-06,Toyota,Corolla,2012,22
2021-03,Audi,S4,2006,179
2018-09,Dodge,Ram 2500 Club,1997,57
2021-08,Mazda,MX-6,1989,143
2019-10,Daewoo,Nubira,1999,108
2018-07,Pontiac,Sunfire,2004,9
2018-10,Hyundai,Sonata,2003,147
2021-07,Bentley,Continental Flying Spur,2008,12
2022-03,Volvo,960,1997,93
2020-03,Lincoln,Continental,1997,92
2019-04,Suzuki,SJ,1987,131
2022-12,Lincoln,Mark VIII,1994,149
2019-12,GMC,Yukon XL 2500,2013,99
